"NAME","COMPOSER","GENRE","LENGTH","Alphorn","Alto Saxophone","Baritone Saxophone","Bass","Bass Clarinet","Bassoons","Bell","Castanets","Celesta","Cello","Chimes","Clarinet","Continuo","Contrabassoon","Cornet","Cymbal","Drum","English Horn","Flute","Glockenspiel","Guitar","Harp","Harpsichord","Horn","Keyboard","Mandolin","Norwegian Fiddel","Oboe","Ophicleide","Organ","Percussion","Piano","Piccolo","Piccolo Clarinet","Sarrusophone","Snare Drum","Strings","Tambourine","Tam-Tam","Tenor Saxophone","Timpani","Triangle","Trombone","Trumpet","Tuba","Vibraphone","Viola","Violin","Xylophone"
"Inner Spaces, Op.25","Pinoy, Peter","Pieces","18:00","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0"
"Irish Rhapsody","Herbert, Victor","Rhapsodies","NA","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","1","0","4","0","0","0","2","0","0","1","0","1","0","0","0","1","0","0","0","1","0","3","2","1","0","0","0","0"
"Italia, Op.11","Casella, Alfredo","Rhapsodies","20:00","0","0","0","1","1","3","1","0","0","0","0","2","0","1","0","1","0","0","3","1","0","2","0","4","0","0","0","3","0","0","0","0","0","1","0","1","1","1","2","0","1","1","3","4","1","0","0","0","0"
"Jatuarana","Rocha, Davi","Bossa novas","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joyful, Joyful, We Adore Thee","K's Band","Jazz","4:30","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Kammerkonzert","Berg, Alban","Concertos","3 Movements","0","0","0","0","1","1","0","0","0","0","0","2","0","1","0","0","0","1","1","0","0","0","0","2","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"König Manfred, Op.93","Reinecke, Carl","Grand Operas","5 Acts","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","1","0","4","0","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","1","0","3","2","0","0","0","0","0"
"La Grande-Duchesse de Gérolstein","Offenbach, Jacques","Operas","3 Acts","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","4","0","0","0","2","0","0","1","0","1","0","0","1","1","0","0","0","1","0","3","2","0","0","0","0","0"
"La grand'tante","Massenet, Jules","Operas","1 Act","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","1","1","3","2","0","0","0","0","0"
"Le diable au moulin","Gevaert, Francois-Auguste","Operas","1 Act","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","1","1","0","2","0","0","0","0","2","0","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0"
